Name,CM 3,CM 2,CM 1 Current,Country,School,HS,Gender,WAGR(Rank),AJGA(Rank),CLIPPD(Rank)
Lottie Woad,,,,England,Florida State University,Y,F,1,,4
Mirabel Ting,,,,Malaysia,Florida State University,Y,F,2,,1
Kiara Romero,,,,United States,University of Oregon,Y,F,3,,2
Andrea Revuelta Goicoechea,,,,Spain,,N,F,4,,
Rianne Mikhaela Malixi,,,,Philippines,,N,F,5,,
Catherine Park,,,,United States,University of Southern California,Y,F,6,,14
Jasmine Koo,,,,United States,University of Southern California,Y,F,7,,9
Louise Rydqvist,,,,Sweden,University of South Carolina,Y,F,8,,18
